radius (m),length (m),xy,y,z,axis_direction,,,branch,branch_order
0.0772,0.1588,-14.0691,143.88,158.77,0.1408,0.1015,0.9848,1,0
0.0615,0.2536,-14.0404,143.897,158.928,-0.1515,-0.262,0.9531,1,0
0.0456,0.0975,-14.0772,143.829,159.169,-0.2467,-0.2482,0.9368,1,0
0.0387,0.092,-14.1002,143.8,159.259,-0.3469,-0.3873,0.8542,1,0
0.0379,0.129,-14.1342,143.765,159.337,-0.2106,-0.3463,0.9142,1,0
0.0424,0.0617,-14.154,143.719,159.47,-0.8906,-0.0108,0.4546,1,0
0.0379,0.2054,-14.1954,143.667,159.491,-0.5552,-0.2468,0.7943,1,0
0.0402,0.2575,-14.294,143.618,159.642,0.5784,-0.5045,0.641,1,0
0.0284,0.4512,-14.1774,143.762,159.361,-0.6845,-0.3259,0.6522,2,1
0.028,0.0901,-14.4883,143.609,159.653,-0.6018,-0.1115,0.7908,2,1
0.0256,0.1051,-14.5494,143.599,159.721,-0.4266,-0.0161,0.9043,2,1
0.0279,0.0901,-14.5914,143.6,159.818,-0.5504,-0.0477,0.8335,2,1
0.0256,0.1416,-14.6348,143.594,159.902,-0.8393,0.0342,0.5427,2,1
0.0244,0.0801,-14.7598,143.601,159.976,-0.4878,0.0042,0.8729,2,1
0.0259,0.0687,-14.8017,143.602,160.044,-0.426,0.0982,0.8994,2,1
0.0215,0.0802,-14.8298,143.598,160.124,-0.7387,0.5412,0.4018,2,1
0.0177,0.0817,-14.8887,143.643,160.153,-0.8839,0.4339,0.1747,2,1
0.0167,0.0817,-14.9606,143.679,160.167,-0.915,0.3693,0.1625,2,1
0.0172,0.1425,-15.0358,143.711,160.176,-0.9126,0.3285,0.2434,2,1
0.0177,0.1584,-15.1688,143.758,160.205,-0.8459,0.3085,0.435,2,1
0.0202,0.0698,-15.3016,143.809,160.275,-0.716,0.3189,0.621,2,1
0.0177,0.0806,-15.3563,143.831,160.315,-0.472,0.1709,0.8649,2,1
0.0183,0.0847,-15.3931,143.845,160.385,-0.3479,0.0644,0.9353,2,1
0.0117,0.0566,-15.4283,143.846,160.46,-0.487,-0.2615,0.8334,2,1
0.0187,0.0895,-15.4504,143.845,160.528,-0.647,-0.5511,0.527,2,1
0.0143,0.1022,-15.5115,143.793,160.57,-0.6401,-0.505,0.579,2,1
0.0192,0.1176,-15.5722,143.739,160.632,-0.6329,-0.444,0.6343,2,1
0.0141,0.1158,-15.6545,143.686,160.701,-0.5059,-0.397,0.7658,2,1
0.0152,0.1148,-15.7133,143.638,160.789,-0.4316,-0.3542,0.8296,2,1
0.0135,0.1117,-15.7806,143.607,160.885,-0.1449,-0.3776,0.9146,2,1
0.0119,0.0547,-15.7981,143.566,160.987,-0.1281,-0.0664,0.9895,2,1
0.0083,0.0529,-15.8079,143.561,161.04,-0.2097,-0.1179,0.9706,2,1
0.0098,0.1776,-15.828,143.555,161.092,0.0212,0.0059,0.9998,2,1
0.009,0.0621,-15.8244,143.558,161.27,-0.0598,0.0193,0.998,2,1
0.0044,0.0803,-15.8344,143.554,161.331,-0.0396,0.0542,0.9977,2,1
0.008,0.0802,-15.8331,143.559,161.412,-0.0865,0.0005,0.9963,2,1
0.0075,0.0528,-15.8412,143.559,161.492,-0.0799,0.0802,0.9936,2,1
0.0071,0.0678,-15.8451,143.561,161.544,-0.1181,0.0976,0.9882,2,1
0.0072,0.0676,-15.8475,143.567,161.612,-0.1313,0.1293,0.9829,2,1
0.0079,0.1136,-15.8677,143.575,161.68,0.1455,0.1254,0.9814,2,1
0.0052,0.0565,-15.8536,143.586,161.792,-0.0233,0.0822,0.9963,2,1
0.0052,0.0722,-15.851,143.596,161.847,0.095,0.1047,0.99,2,1
0.0162,0.0539,-15.8636,143.602,161.921,0.1263,-0.0094,0.9919,2,1
0.0099,0.0737,-15.8338,143.612,161.972,0.0786,0.149,0.9857,2,1
0.0132,0.0762,-15.8268,143.63,162.042,0.0528,0.2469,0.9676,2,1
0.0457,0.1496,-14.0407,143.986,159.064,0.0453,0.5174,0.8545,3,1
0.0457,0.0967,-14.0339,144.064,159.192,0.05,0.5182,0.8538,3,1
0.0488,0.0886,-14.0312,144.112,159.276,0.1658,0.4774,0.8629,3,1
0.0481,0.0699,-14.0195,144.156,159.36,0.7658,0.6072,0.212,3,1
0.0377,0.124,-13.9654,144.197,159.386,0.7431,0.6674,0.0494,3,1
0.0372,0.1816,-13.8752,144.282,159.39,0.6873,0.6814,0.2516,3,1
0.0362,0.0693,-13.7486,144.406,159.434,0.5909,0.5668,0.5741,3,1
0.0368,0.0876,-13.7074,144.447,159.472,0.5683,0.5272,0.6318,3,1
0.0385,0.0782,-13.6539,144.493,159.525,0.4481,0.4959,0.7438,3,1
0.0344,0.109,-13.6186,144.535,159.582,0.3224,0.3593,0.8758,3,1
0.0259,0.1196,-13.5809,144.572,159.677,0.2442,0.227,0.9428,3,1
0.0266,0.0965,-13.5558,144.604,159.791,0.377,0.1024,0.9205,3,1
0.0281,0.0626,-13.5202,144.619,159.881,0.9701,0.0955,0.2232,3,1
0.0233,0.0812,-13.4599,144.625,159.898,0.9774,0.0845,0.194,3,1
0.0245,0.0882,-13.3788,144.625,159.913,0.9292,0.2526,0.2697,3,1
0.0233,0.0856,-13.2962,144.647,159.936,0.9145,0.3101,0.2598,3,1
0.0232,0.0712,-13.2175,144.673,159.957,0.9082,0.2932,0.2986,3,1
0.0228,0.0954,-13.1518,144.693,159.977,0.8808,0.2908,0.3737,3,1
0.0225,0.067,-13.0666,144.722,160.01,0.8039,0.243,0.5429,3,1
0.023,0.0595,-13.0129,144.739,160.046,0.7585,0.1967,0.6213,3,1
0.0227,0.0817,-12.9671,144.752,160.083,0.704,0.1634,0.6912,3,1
0.0235,0.0633,-12.9083,144.763,160.139,0.5764,0.1966,0.7932,3,1
0.0226,0.1107,-12.8616,144.773,160.184,0.4785,0.2031,0.8543,3,1
0.0204,0.1411,-12.8055,144.797,160.276,0.5412,0.1642,0.8247,3,1
0.0223,0.0886,-12.73,144.822,160.392,0.4971,0.1678,0.8513,3,1
0.0226,0.0725,-12.6881,144.838,160.469,0.3826,0.1011,0.9184,3,1
0.0282,0.0597,-12.6672,144.842,160.54,0.399,0.3507,0.8472,3,1
0.0285,0.1505,-12.6248,144.846,160.612,0.0816,0.812,0.5779,3,1
0.0156,0.0968,-12.6119,144.987,160.694,-0.0881,0.2616,0.9611,3,1
0.015,0.0633,-12.6182,145.008,160.788,-0.0499,0.3336,0.9414,3,1
0.0082,0.0753,-12.6393,145.025,160.852,0.1353,0.3071,0.942,3,1
0.0204,0.047,-12.6134,145.058,160.921,0.0395,0.1175,0.9923,3,1
0.0133,0.0535,-12.619,145.064,160.967,-0.0983,0.1351,0.9859,3,1
0.0128,0.0565,-12.6407,145.066,161.021,-0.0032,0.2159,0.9764,3,1
0.0121,0.0899,-12.6429,145.078,161.076,0.0071,0.2197,0.9755,3,1
0.0111,0.1076,-12.6402,145.099,161.163,0.0093,0.2151,0.9765,3,1
0.0099,0.1275,-12.6293,145.122,161.269,-0.0702,0.1987,0.9775,3,1
0.0121,0.0714,-12.6459,145.149,161.393,-0.0029,0.156,0.9877,3,1
0.006,0.0449,-12.6318,145.16,161.464,-0.0205,0.2397,0.9706,3,1
0.0077,0.0472,-12.6348,145.172,161.507,-0.1352,0.1405,0.9808,3,1
0.005,0.0825,-12.6346,145.178,161.554,-0.093,0.1934,0.9767,3,1
0.0091,0.0543,-12.6505,145.194,161.635,-0.0035,0.1881,0.9821,3,1
0.0056,0.0597,-12.6443,145.203,161.688,0.0653,0.1821,0.9811,3,1
