radius (m),length (m),x,y,z,a,b,c,branch,branch_order
0.1001,0.1873,-8.7394,141.297,158.878,0.1027,-0.0518,0.9934,1,0
0.0999,0.1636,-8.7218,141.287,159.064,0.1117,-0.0719,0.9911,1,0
0.1059,0.1623,-8.7018,141.275,159.225,0.2771,-0.019,0.9607,1,0
0.087,0.2789,-8.6633,141.28,159.376,-0.0261,0.4998,0.8657,1,0
0.0547,0.1231,-8.7152,141.415,159.591,-0.5109,0.2381,0.826,1,0
0.0474,0.0816,-8.7855,141.443,159.687,-0.5923,-0.0856,0.8012,1,0
0.0487,0.11,-8.8166,141.43,159.764,-0.5414,0.0018,0.8407,1,0
0.0373,0.0816,-8.8966,141.442,159.848,-0.3329,0.0715,0.9403,1,0
0.0363,0.1319,-8.9237,141.447,159.925,-0.3058,0.0792,0.9488,1,0
0.0383,0.1811,-8.961,141.453,160.052,-0.3615,0.2023,0.9102,1,0
0.0379,0.087,-9.0256,141.49,160.217,-0.2647,0.2039,0.9425,1,0
0.0431,0.1338,-9.0427,141.5,160.306,-0.4123,0.41,0.8136,1,0
0.0405,0.0939,-9.0978,141.556,160.415,0.0468,0.0249,0.9986,1,0
0.0333,0.0651,-9.0291,141.523,160.51,-0.0077,0.0235,0.9997,1,0
0.0316,0.0779,-9.0155,141.542,160.574,0.0649,0.0262,0.9975,1,0
0.0287,0.1509,-9.0282,141.592,160.654,0.0992,-0.0108,0.995,1,0
0.0361,0.1654,-9.043,141.532,160.81,0.0161,0.0934,0.9955,1,0
0.0212,0.0705,-9.0292,141.559,160.972,0.177,0.0507,0.9829,1,0
0.0193,0.0778,-9.0146,141.565,161.041,0.1827,-0.0182,0.983,1,0
0.0295,0.2138,-8.9788,141.544,161.114,0.2241,0.0721,0.9719,1,0
0.0171,0.285,-8.9686,141.561,161.33,0.2094,-0.0421,0.9769,1,0
0.0046,0.234,-8.9202,141.565,161.611,0.1014,-0.1058,0.9892,1,0
0.0049,0.065,-8.8972,141.542,161.842,0.0437,-0.0255,0.9987,1,0
0.0426,0.386,-8.693,141.377,159.319,0.6995,0.4432,0.5606,2,1
0.0421,0.1103,-8.4179,141.551,159.532,0.5027,0.2947,0.8127,2,1
0.0403,0.1301,-8.3606,141.587,159.62,0.4301,0.2293,0.8732,2,1
0.0406,0.1401,-8.3017,141.62,159.732,0.3665,0.1462,0.9189,2,1
0.0401,0.2067,-8.2488,141.639,159.86,0.3472,0.198,0.9166,2,1
0.0403,0.1163,-8.1765,141.678,160.049,0.3865,0.183,0.9039,2,1
0.0445,0.1365,-8.1333,141.699,160.156,0.4329,0.2609,0.8629,2,1
0.0486,0.1821,-8.0778,141.737,160.275,0.479,0.2753,0.8335,2,1
0.0435,0.0811,-7.9899,141.785,160.427,0.7441,0.2794,0.6068,2,1
0.0368,0.1069,-7.9267,141.809,160.472,0.7175,0.3377,0.6092,2,1
0.0345,0.1172,-7.8502,141.846,160.536,0.6194,0.3156,0.7189,2,1
0.0385,0.1249,-7.7796,141.881,160.623,0.6746,0.2656,0.6887,2,1
0.0388,0.0588,-7.6948,141.919,160.717,0.656,-0.6535,0.3777,2,1
0.0462,0.1983,-7.6217,141.882,160.706,0.6828,-0.1662,0.7115,2,1
0.0275,0.1027,-7.4811,141.803,160.853,0.0375,0.1365,0.9899,2,1
0.0271,0.0719,-7.5033,141.839,160.949,-0.1505,0.1068,0.9828,2,1
0.0404,0.1036,-7.5187,141.863,161.032,-0.9379,0.0013,-0.3469,2,1
0.0261,0.0938,-7.5899,141.811,160.992,-0.1463,-0.1464,0.9784,2,1
0.0276,0.1821,-7.6306,141.822,161.087,-0.0199,-0.154,0.9879,2,1
0.0247,0.1383,-7.6245,141.788,161.266,0.0157,-0.0971,0.9951,2,1
0.0327,0.3873,-7.5837,141.753,161.4,0.0845,-0.0267,0.9961,2,1
0.0248,0.0762,-7.6033,141.732,161.791,0.0951,0.0036,0.9955,2,1
0.0206,0.111,-7.5919,141.738,161.866,0.1035,-0.0187,0.9945,2,1
0.0198,0.1067,-7.5524,141.743,161.972,0.1709,0.0404,0.9845,2,1
0.0264,0.1273,-7.5282,141.755,162.076,0.0469,0.0696,0.9965,2,1
0.0288,0.0616,-7.5518,141.764,162.222,0.545,0.0462,0.8372,2,1
0.0357,0.105,-7.5131,141.776,162.272,0.509,-0.1662,0.8446,2,1
