radius (m),length (m),x,y,z,axis_direction,,,branch,branch_order
0.0811,0.2398,-27.4255,129.992,158.123,-0.1317,-0.1008,0.9862,1,0
0.0861,0.1657,-27.4573,129.973,158.361,-0.1489,-0.2883,0.9459,1,0
0.0616,0.6079,-27.4451,129.885,158.489,0.4655,-0.1912,0.8641,1,0
0.037,0.0966,-27.1625,129.811,159.029,0.5878,-0.2556,0.7675,1,0
0.0365,0.0936,-27.1085,129.786,159.104,0.474,-0.2341,0.8488,1,0
0.0369,0.0947,-27.0643,129.765,159.184,0.4725,-0.1669,0.8654,1,0
0.039,0.142,-27.02,129.75,159.266,0.4619,-0.1799,0.8685,1,0
0.0364,0.1799,-26.9537,129.727,159.39,0.3906,-0.1791,0.903,1,0
0.0363,0.0862,-26.8902,129.689,159.558,0.674,-0.1095,0.7306,1,0
0.0384,0.1248,-26.8419,129.676,159.637,0.8623,-0.0175,0.5061,1,0
0.0418,0.1133,-26.7301,129.668,159.691,0.9252,0.0914,0.3684,1,0
0.0363,0.1913,-26.6379,129.711,159.794,0.9449,-0.1614,0.2847,1,0
0.046,0.5242,-27.5582,129.955,158.633,-0.1178,0.6074,0.7856,2,1
0.0449,0.0958,-27.6201,130.273,159.044,0.0417,0.5527,0.8324,2,1
0.0467,0.1164,-27.6175,130.325,159.125,0.0696,0.5425,0.8372,2,1
0.0469,0.1522,-27.6109,130.388,159.223,0.1404,0.512,0.8475,2,1
0.0458,0.1088,-27.5947,130.464,159.356,0.297,0.6466,0.7026,2,1
0.0461,0.1493,-27.5643,130.534,159.436,0.5678,0.7322,0.3761,2,1
0.0407,0.1321,-27.4793,130.646,159.486,0.5632,0.7506,0.3456,2,1
0.0383,0.0899,-27.4032,130.745,159.529,0.5282,0.7187,0.4521,2,1
0.0413,0.0767,-27.3553,130.811,159.568,0.4292,0.6859,0.5877,2,1
0.0347,0.0934,-27.3183,130.862,159.612,0.3969,0.7031,0.59,2,1
0.0306,0.139,-27.2729,130.923,159.675,0.1813,0.9368,0.2993,2,1
0.0276,0.1344,-27.2475,131.054,159.715,0.1702,0.9729,0.1565,2,1
0.027,0.1418,-27.2239,131.184,159.737,0.2179,0.9563,0.1951,2,1
0.0266,0.118,-27.1925,131.32,159.765,0.2199,0.9439,0.2463,2,1
0.0284,0.0891,-27.1667,131.431,159.793,0.2679,0.9216,0.2809,2,1
0.0281,0.0934,-27.145,131.515,159.816,0.2252,0.8746,0.4294,2,1
0.0266,0.137,-27.1245,131.6,159.852,0.3364,0.7702,0.5418,2,1
0.0284,0.1001,-27.0786,131.707,159.923,0.4058,0.8287,0.3855,2,1
0.0222,0.1742,-27.0415,131.792,159.952,0.4497,0.8895,0.0811,2,1
0.0363,0.0585,-26.9872,131.978,159.938,0.3734,0.7656,0.5239,2,1
0.0337,0.3417,-26.9692,132.039,159.944,0.5273,0.7518,0.396,2,1
0.0179,0.0284,-26.7363,132.283,160.035,0.4753,0.816,0.329,2,1
0.0175,0.0621,-26.732,132.314,160.041,0.5352,0.7476,0.3933,2,1
0.0169,0.0601,-26.7014,132.362,160.066,0.5551,0.7205,0.4155,2,1
0.0162,0.0736,-26.6671,132.406,160.089,0.6326,0.6137,0.4724,2,1
0.0156,0.0656,-26.6192,132.453,160.121,0.6294,0.4556,0.6296,2,1
0.0213,0.1734,-26.5836,132.494,160.162,0.5121,0.3297,0.7931,2,1
0.0132,0.0546,-26.4826,132.553,160.292,0.4255,0.3021,0.853,2,1
0.0118,0.2073,-26.4566,132.568,160.338,0.4009,0.3072,0.8631,2,1
0.0105,0.023,-26.3677,132.625,160.516,0.4012,0.24,0.884,2,1
0.0055,0.1469,-26.3575,132.63,160.536,0.3578,0.2562,0.898,2,1
0.0088,0.0784,-26.3157,132.674,160.672,0.3738,0.1287,0.9185,2,1
0.0058,0.0746,-26.2786,132.688,160.741,0.2451,0.1947,0.9498,2,1
0.0094,0.0734,-26.2621,132.695,160.815,0.289,0.3104,0.9056,2,1
0.0079,0.0864,-26.2493,132.717,160.884,0.2775,0.1698,0.9456,2,1
0.0122,0.0429,-26.2123,132.739,160.965,0.1237,-0.0876,0.9884,2,1
0.0127,0.0499,-26.2124,132.725,161.01,0.1373,0.2149,0.9669,2,1
0.0173,0.0836,-26.2053,132.731,161.059,0.3007,0.0902,0.9494,2,1
0.0134,0.0444,-26.1633,132.757,161.136,0.1669,-0.0391,0.9852,2,1
0.0116,0.0913,-26.1542,132.756,161.179,0.2465,0.0928,0.9647,2,1
0.0311,0.1699,-26.6769,129.64,159.684,0.8956,-0.423,-0.1374,3,1
0.0315,0.1185,-26.5242,129.568,159.662,0.8811,-0.4484,-0.1505,3,1
0.031,0.0851,-26.4206,129.514,159.643,0.841,-0.5306,-0.1059,3,1
0.0319,0.0736,-26.3518,129.462,159.627,0.9035,-0.4214,0.0788,3,1
0.0271,0.0968,-26.2847,129.431,159.632,0.8438,-0.2959,0.4476,3,1
0.0279,0.1886,-26.2045,129.407,159.686,0.8701,-0.3954,0.2943,3,1
0.0246,0.1339,-26.037,129.329,159.766,0.9369,-0.3052,-0.1704,3,1
0.022,0.1184,-25.9124,129.288,159.74,0.9604,-0.189,-0.2049,3,1
0.0226,0.0588,-25.7986,129.263,159.717,0.9913,-0.0329,-0.1273,3,1
0.0182,0.1241,-25.7352,129.258,159.706,0.6348,0.6749,0.3762,3,1
0.0172,0.1467,-25.6517,129.341,159.748,0.6257,0.6479,0.4344,3,1
0.0244,0.0734,-25.5682,129.438,159.82,0.6826,0.5284,0.5049,3,1
0.0157,0.0763,-25.51,129.481,159.844,0.6178,0.5556,0.5565,3,1
0.019,0.1315,-25.4661,129.526,159.888,0.6103,0.4812,0.6292,3,1
0.0206,0.1142,-25.3915,129.59,159.974,0.4574,0.4382,0.7738,3,1
0.0138,0.1708,-25.3362,129.649,160.057,0.4195,0.3573,0.8345,3,1
0.0107,0.1035,-25.2594,129.708,160.197,0.4585,0.265,0.8483,3,1
0.0058,0.097,-25.2146,129.736,160.288,0.7949,0.1041,0.5977,3,1
0.0083,0.1013,-25.1371,129.747,160.346,0.8143,0.1304,0.5656,3,1
0.0073,0.0781,-25.0544,129.76,160.403,0.7993,0.1305,0.5866,3,1
0.0044,0.0688,-24.9911,129.769,160.448,0.7696,0.1468,0.6215,3,1
0.0046,0.0866,-24.9378,129.778,160.49,0.7616,0.1625,0.6274,3,1
0.0067,0.0488,-24.8692,129.787,160.543,0.7171,0.2241,0.6599,3,1
0.0105,0.2106,-24.8293,129.816,160.572,0.6118,-0.0154,0.7908,3,1
0.0043,0.1063,-24.7034,129.819,160.74,0.4353,-0.0644,0.898,3,1
0.0405,0.3213,-27.4754,129.821,158.57,0.2853,-0.882,0.375,4,1
0.0375,0.1862,-27.3825,129.536,158.687,0.1341,-0.8218,0.5538,4,1
0.0359,0.0873,-27.3572,129.384,158.792,0.1811,-0.7607,0.6233,4,1
0.037,0.089,-27.3422,129.317,158.846,0.204,-0.7311,0.6511,4,1
0.037,0.0852,-27.3244,129.251,158.904,0.1724,-0.6759,0.7165,4,1
0.037,0.0833,-27.3113,129.194,158.965,0.213,-0.6746,0.7068,4,1
0.0368,0.0815,-27.292,129.137,159.023,0.1774,-0.6771,0.7142,4,1
0.0369,0.0838,-27.2774,129.082,159.081,0.1147,-0.6627,0.7401,4,1
0.0382,0.0839,-27.2696,129.027,159.144,0.1861,-0.6522,0.7349,4,1
0.0406,0.1153,-27.2559,128.97,159.204,0.2233,-0.6003,0.768,4,1
0.0376,0.1713,-27.2402,128.9,159.294,0.1624,-0.7058,0.6896,4,1
0.0377,0.1361,-27.2099,128.777,159.41,-0.0634,-0.8594,0.5073,4,1
0.036,0.0774,-27.2205,128.659,159.477,-0.0094,-0.7763,0.6303,4,1
0.0369,0.1154,-27.2191,128.6,159.527,0.0449,-0.7169,0.6958,4,1
0.0322,0.1363,-27.2192,128.513,159.609,0.5423,-0.5041,0.6721,4,1
0.0258,0.1144,-27.1437,128.439,159.694,0.7105,-0.4169,0.5669,4,1
0.0259,0.0949,-27.063,128.391,159.76,0.7026,-0.3646,0.6111,4,1
0.0261,0.0978,-26.9983,128.351,159.816,0.6935,-0.4111,0.5916,4,1
0.0248,0.0428,-26.9314,128.313,159.877,0.7342,-0.4333,0.5226,4,1
0.0249,0.0843,-26.898,128.296,159.913,0.7551,-0.6544,-0.0404,4,1
0.0219,0.0942,-26.8347,128.239,159.914,0.6446,-0.7016,-0.3037,4,1
0.022,0.0457,-26.7733,128.173,159.884,0.7189,-0.5544,0.4193,4,1
0.0147,0.0689,-26.7286,128.128,159.892,0.668,-0.0457,0.7428,4,1
0.0154,0.1425,-26.6663,128.141,159.934,0.5632,-0.1111,0.8188,4,1
0.0111,0.1509,-26.5823,128.113,160.049,0.5591,0.0853,0.8247,4,1
0.0093,0.114,-26.4995,128.127,160.174,0.4703,0.0929,0.8776,4,1
0.008,0.082,-26.4433,128.135,160.273,0.4317,0.0091,0.902,4,1
0.0067,0.0733,-26.4066,128.135,160.347,0.3704,0.0783,0.9256,4,1
0.0073,0.1074,-26.3804,128.148,160.415,0.3436,0.053,0.9376,4,1
0.0057,0.0621,-26.3452,128.151,160.516,0.2142,0.0964,0.972,4,1
0.004,0.132,-26.3289,128.15,160.577,0.1392,0.1464,0.9794,4,1
0.0487,0.3358,-27.4731,129.925,158.529,-0.6577,-0.3144,0.6845,5,1
0.0532,0.0785,-27.6954,129.807,158.76,-0.7123,0.1127,0.6928,5,1
0.0404,0.0971,-27.743,129.817,158.821,-0.6612,0.324,0.6767,5,1
0.0368,0.0766,-27.807,129.848,158.888,-0.8417,0.2132,0.496,5,1
0.037,0.0828,-27.874,129.863,158.923,-0.8125,0.1516,0.5629,5,1
0.0386,0.073,-27.9427,129.875,158.968,-0.7642,0.1794,0.6195,5,1
0.0355,0.0764,-27.9992,129.889,159.012,-0.7359,0.1245,0.6656,5,1
0.0358,0.0859,-28.0553,129.899,159.063,-0.7632,0.0857,0.6404,5,1
0.0354,0.1073,-28.1229,129.907,159.115,-0.7369,0.0498,0.6741,5,1
0.0327,0.0908,-28.2018,129.913,159.188,-0.7155,-0.034,0.6978,5,1
0.0339,0.0806,-28.266,129.909,159.252,-0.7643,-0.0026,0.6449,5,1
0.037,0.1324,-28.3277,129.916,159.309,-0.9744,-0.1454,0.1715,5,1
0.0349,0.1116,-28.4602,129.9,159.327,-0.8155,-0.5506,0.1783,5,1
0.0325,0.1241,-28.5422,129.836,159.355,-0.6051,-0.6566,0.4503,5,1
0.0311,0.0748,-28.6194,129.755,159.41,-0.6123,-0.5415,0.5761,5,1
0.0316,0.1322,-28.6657,129.715,159.453,-0.591,-0.5556,0.5848,5,1
0.0305,0.0617,-28.7416,129.634,159.53,-0.7032,-0.2042,0.681,5,1
0.0272,0.1944,-28.7935,129.602,159.57,-0.6041,0.1855,0.775,5,1
0.0253,0.0937,-28.9123,129.637,159.719,-0.7522,-0.1256,0.6469,5,1
0.0205,0.1083,-28.983,129.621,159.777,-0.8345,-0.3078,0.457,5,1
0.0185,0.0865,-29.0744,129.588,159.824,-0.8482,-0.2668,0.4576,5,1
0.0193,0.0616,-29.1475,129.567,159.866,-0.8341,-0.3781,0.4017,5,1
0.0182,0.0442,-29.2023,129.544,159.897,-0.4595,-0.867,-0.1929,5,1
0.0182,0.0777,-29.2327,129.508,159.907,-0.4683,-0.87,-0.1544,5,1
0.0306,0.191,-29.2608,129.427,159.884,-0.591,-0.7077,0.3871,5,1
0.0154,0.087,-29.3883,129.288,159.942,-0.5427,-0.5496,0.6351,5,1
0.0145,0.0814,-29.4363,129.239,159.995,-0.5782,-0.4526,0.6789,5,1
0.0136,0.0786,-29.4776,129.199,160.051,-0.3349,-0.448,0.8289,5,1
0.0235,0.0642,-29.5378,129.141,160.096,-0.4014,-0.2024,0.8933,5,1
0.0121,0.0685,-29.5351,129.131,160.168,-0.3745,-0.4118,0.8307,5,1
0.0125,0.062,-29.5604,129.101,160.224,-0.3763,-0.3974,0.8369,5,1
0.0102,0.077,-29.5876,129.078,160.275,-0.3654,-0.3699,0.8542,5,1
0.0118,0.0573,-29.613,129.048,160.341,-0.3602,-0.3063,0.8811,5,1
0.0061,0.0985,-29.6491,129.031,160.388,-0.2231,-0.3875,0.8945,5,1
0.0061,0.2448,-29.6714,128.99,160.475,-0.2635,-0.2981,0.9175,5,1
0.0042,0.0257,-29.7335,128.918,160.701,-0.2765,-0.257,0.926,5,1
